,1d_pred,3d_pred,5d_pred,1d_pred_proba,3d_pred_proba,5d_pred_proba,1d_Range_pred,1d_Range_pred_proba,1d_actual,3d_actual,5d_actual,1d_Range_actual
212,1,0,1,0.8205453,0.49255607,0.8872329,0,0.24072511,1,1,1,0
213,1,0,1,0.88069355,0.45236012,0.70912045,0,0.3023579,1,1,1,0
214,1,1,1,0.8608979,0.91936004,0.5472289,0,0.23052038,1,1,1,0
215,1,1,0,0.51050174,0.8808808,0.40963903,0,0.11070855,1,1,0,0
216,0,0,0,0.0696835,0.27192762,0.45208192,0,0.043068882,1,0,0,0
217,0,0,0,0.13649079,0.38269714,0.46932992,0,0.38283673,1,0,0,1
218,0,1,0,0.281076,0.56115603,0.38109714,1,0.6075357,0,0,0,1
219,1,0,1,0.6887102,0.26756197,0.705396,0,0.3916536,0,0,0,1
220,0,1,1,0.46285552,0.8347137,0.6825288,0,0.29318523,0,0,0,1
221,1,1,1,0.9564853,0.58184564,0.7351632,1,0.55161464,1,1,1,1
222,1,0,1,0.50510424,0.32084042,0.5063123,0,0.3204208,0,0,1,0
223,1,1,1,0.90765643,0.68914115,0.6403187,0,0.035149787,0,1,1,0
224,1,0,1,0.86952114,0.07135824,0.53594,1,0.7631452,1,1,1,1
225,0,0,1,0.3817102,0.17757198,0.5311029,1,0.8914625,1,1,1,0
226,0,1,0,0.25662494,0.52763397,0.38096496,1,0.7785102,1,1,1,1
227,0,0,0,0.15169886,0.12681924,0.37729535,1,0.73665774,0,1,1,0
228,0,0,1,0.4276904,0.050088286,0.5336248,1,0.77682066,1,1,1,1
229,0,0,0,0.1643601,0.09845939,0.449612,0,0.40379846,0,0,0,0
230,0,0,1,0.2667718,0.008958231,0.5151663,0,0.22597423,0,1,0,1
231,0,0,1,0.28895074,0.06327953,0.56154567,1,0.8503565,1,1,1,1
232,0,0,0,0.22929266,0.014698254,0.48188788,1,0.5503655,1,1,1,1
233,0,0,0,0.1295096,0.0066857385,0.3803602,1,0.6529171,0,0,0,0
234,0,0,1,0.36933124,0.11873744,0.5878841,0,0.2682115,1,1,0,1
235,0,0,1,0.21597199,0.09957147,0.5215575,0,0.36031187,1,0,0,0
236,0,0,0,0.25297242,0.09896544,0.4942464,0,0.055738267,0,0,0,0
237,1,0,1,0.872766,0.32068303,0.5407853,0,0.043575004,0,0,1,0
238,1,1,1,0.7809967,0.9238271,0.6421326,1,0.797364,0,1,0,1
239,1,0,1,0.69133264,0.3857432,0.56026334,1,0.6858755,0,1,0,0
240,1,1,1,0.7591217,0.56120765,0.5759002,1,0.8334049,1,0,0,0
241,0,0,0,0.073902555,0.24114473,0.42707035,1,0.72653794,1,0,0,0
242,0,0,0,0.12176582,0.1621948,0.35149628,1,0.5754268,0,0,0,0
